nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Sr. Sergio Cotto Arreola,sr.7451797@viajesanma.com,tI3Og741o75,sr.1171134,+56 2 7670 8421,10681401,-12763,,,,5
Catalina Solorio Reyna,casore427@viajes.cl,nc6XdfjB8Pszl,catalina5145923,+56 9 9746 9140,10150923,,Diurno,Más vida,Full time,0
Lola Cabán Merino,lola7104104@viajes.cl,mnugU95T4PDHKtJ,locame171,+56 2 7643 1922,24649775,,Diurno,Consalud,Part time,3
Sta. Elsa Badillo Lugo,stelbalu988@viajes.cl,r0mHw8W1m6nu,sta.6297218,,12716555,,Nocturno,,Part time,6
Diego Gaona González,diego955510@viajes.cl,q5G5IeAM65wwp,Diegogonzález897,+56 2 9370 9159,14184372,,Diurno,Más vida,Part time,9
Nicolás Nájera Murillo,nicolás2999751@wass.com,96HSOSX9r3LDlXG,nicolás855689,+56 9 1000 7169,28236911,,,,,7
Martín Barrientos Duarte,mabadu448@viajes.cl,9Sa3LZR4N0IXSu1,mabadu291,+56 2 7629 9816,24784574,,Nocturno,Fonasa,Part time,7
Yolanda Pabón Velásquez,yolanda4907946@viajesanma.com,3F9cJraF,yopave415,+56 9 1331 4852,17995816,,,,,3
Graciela Gastélum Farías,grgafa303@marmol.com,2EbboZCqaG,Gracielafarías261,+56 2 6151 6198,23598299,,,,,4
Alicia Mayorga Briseño,Aliciabriseño959@viajes.cl,IhR7ILiRas,Aliciabriseño552,+56 2 8420 3894,20603571,,Nocturno,Banmédica,Full time,4
Julio César Baeza Carmona,Juliocarmona251@outluc.com,4UBETQU0Qfzl,jucébaca172,+56 2 8699 8690,22165959,,,,,7
Sara Viera Narváez,savina416@edubus.cal,taN2I1JpZyrufxfK,savina763,+56 9 2506 8214,27039857,,,,,K
Eloisa Arenas Ávalos,eloisa888944@viajes.cl,BiuiuuzZX68ua,elaráv276,+56 2 4523 3061,10036513,,,Fonasa,,8
Carlos García Loera,Carlosloera513@viajes.cl,UlQC9CrF,cagalo342,+56 2 4384 5376,12084829,,Diurno,Consalud,Full time,1
María Teresa Verduzco Laureano,Maríalaureano486@viajes.cl,Yj3Vew7C1FtQD,maría6836164,+56 9 5296 1339,22666894,,Diurno,Colmena,Full time,2
Sr. Lola Alarcón Bernal,sr.3383439@viajes.cl,5r87rXJgdt53,sr.8478165,+56 9 6129 8340,13144931,,Diurno,Banmédica,Part time,3
Reina Mayorga Aguayo,remaag174@viajes.cl,8ZoQ0mGSRDaX,remaag483,+56 2 1170 1526,19062719,,,Fonasa,Full time,5
Elsa Lebrón Nájera,Elsanájera336@viajes.cl,xQiveu5CJBeN,elsa6798921,+56 9 1044 3525,16019390,,Diurno,Colmena,Part time,5
Julia Cuellar Valencia,Juliavalencia268@viajes.cl,1Uc7u4WdU,julia3220546,+56 9 2964 8618,21747080,,,Colmena,Full time,3
Julio Pichardo Garica,Juliogarica923@viajes.cl,RjSXb59bZyj,jupiga775,+56 2 1163 6519,11626832,,Nocturno,Más vida,Full time,9
Sta. Luis Miguel Cuellar Casas,stlumicuca647@viajes.cl,1j69v57QWQt4r,sta.7748666,+56 9 6190 1901,21910252,,Nocturno,Colmena,Part time,6
Magdalena Abreu Marroquín,maabma639@viajes.cl,OD6r6PYKq9i4,maabma792,+56 2 8433 7016,29838141,,Diurno,Banmédica,Full time,9
Salvador Pulido Rael,Salvadorrael871@viajes.cl,qEuQUU8df,salvador8669483,+56 2 7786 1337,19386422,,Diurno,Colmena,Full time,8
Mayte Gálvez Gómez,magágó137@wass.com,WNcovXREG63,Maytegómez216,+56 2 2587 2061,20771352,,,,,K
Rebeca Valladares Ortega,revaor825@viajes.cl,1c4O3Mq2Lg5Jqtnb,rebeca3769626,+56 2 6065 0126,28501722,,Nocturno,Más vida,Full time,K
Emilio Blanco Paredes,emilio822282@viajes.cl,e4W3LsJ6SSdT4eSt,emblpa396,+56 2 1954 7823,24833429,,Nocturno,Colmena,Part time,0
María Pizarro Peralta,mapipe691@marmol.com,f6AHIu5yLYeyu,mapipe938,+56 9 2905 2517,17022244,,,,,K
Sr. César Brito Segura,srcébrse308@viajes.cl,WN9kfAtQTzt3BIK,sr.3014324,,28284823,,Nocturno,Consalud,Part time,6
Sr. Timoteo Gálvez Pagan,sr.4977383@viajes.cl,uIWW8puM8,srtigápa383,+56 2 6233 2830,15859376,,Diurno,Banmédica,Part time,9
Eva Vigil Montez,evvimo997@tourket.com,xXGuZwbk6M4,eva5492543,+56 9 2392 1221,22004226,,,,,K
Lorena Cortez Salgado,lorena822833@viajes.cl,9CGs2ynxz2e,lorena1210641,+56 9 3903 7884,22792402,,Diurno,,Full time,0
Tomás Muro Zambrano,Tomászambrano517@viajes.cl,4Ykuiw0XP3wG,tomuza447,+56 9 9837 2137,22742471,,Nocturno,Consalud,Part time,0
Sra. María Teresa Orta Águilar,srmateorág301@tourket.com,9PUjR4UYdmQG,srmateorág585,+56 2 3878 3267,19786040,,,,,5
Luz Rolón Sierra,lurosi472@viajes.cl,4xfKU7QvG1eyj3U,Luzsierra544,+56 2 6647 4941,16125019,,Diurno,Consalud,Full time,8
Andrea Caraballo Báez,andrea6328405@viajes.cl,HGyfrQWfRjgiv1,Andreabáez105,+56 2 1957 2293,17976700,,Diurno,Fonasa,Full time,7
Cristobal Nájera Chapa,crnách772@viajes.cl,vQu62tmG9NG5,crnách995,+56 9 3617 0073,10553005,,Nocturno,Colmena,Part time,6
Sonia Bravo Tapia,sonia4827360@outluc.com,y9Lzo1wcJFzG5Tcy,sobrta147,+56 2 0567 1435,24485817,-2513,,,,1
Alberto Rocha Carranza,Albertocarranza913@viajes.cl,j8wid4EgUbxiOMDy,alberto566617,+56 9 6529 2393,26108209,,Diurno,Colmena,Part time,8
Vicente Alcántar Aponte,Vicenteaponte297@viajes.cl,4pnEA9DwRs,Vicenteaponte603,+56 9 4718 9387,21051994,,Nocturno,Consalud,Full time,7
Leticia Fernández Peralta,Leticiaperalta553@viajes.cl,noR0jXSf9cJ,leticia2942656,+56 2 4135 2968,13467480,,Nocturno,Colmena,Full time,6
Benito Robledo Cardona,Benitocardona170@viajes.cl,AzzlZ6M8F0XV7,benito9852436,+56 9 7320 2506,12954954,,Nocturno,Banmédica,Full time,8
Ramona Arroyo Guzmán,Ramonaguzmán438@viajes.cl,cXYEW0LpJJOCOe3,ramona8448687,+56 9 0513 7533,24428665,,Nocturno,Colmena,Part time,8
Ariadna Raya de Jesús,arradeje840@viajes.cl,bT6Xk66innC,Ariadnajesús578,+56 2 2301 5672,26116136,,Diurno,Más vida,Full time,2
Alejandro de Jesús Alcaraz,alejandro4663195@viajes.cl,ESUbU6k6uE,aldejeal230,,21147795,,Diurno,Colmena,Full time,4
Caridad Figueroa Garay,cafiga949@viajes.cl,KxG2IJj8DMmDavi,caridad6999509,+56 9 7202 4253,17089426,,Diurno,Banmédica,Full time,K
Cecilia Delagarza Flórez,Ceciliaflórez371@viajes.cl,roRnbq10bi1MtS,cedefl581,+56 9 9348 5982,10693239,,Nocturno,Fonasa,Full time,5
María Vela Garibay,mavega737@viajes.cl,OU2P10oS4lN6km,Maríagaribay548,,17172182,,Diurno,Consalud,Full time,2
Laura Benavídez Valverde,Lauravalverde772@viajes.cl,scPsmMNaB8wJyapu,labeva903,+56 2 4875 1226,24959800,,,Fonasa,Part time,3
Lourdes Zavala Jimínez,Lourdesjimínez985@viajes.cl,EnUU2AWWubiR,Lourdesjimínez627,+56 2 7333 5468,15229199,,Diurno,Consalud,Full time,K
Victoria Arriaga Delrío,victoria3315739@viajes.cl,H36pNaRucvFmIUb,viarde709,+56 2 4947 6718,24799329,,Diurno,Fonasa,Full time,0
Samuel Rosales Laureano,sarola737@wass.com,zU55j9VmRO5vnIRx,Samuellaureano604,+56 9 0755 7700,13710481,,,,,4
Sr. Miguel Lozada Lemus,sr.3206621@outluc.com,BY59CCHRh,sr.3369387,+56 9 8911 1776,21097508,-9340,,,,K
Caridad Lugo Magaña,caridad8115247@viajes.cl,zNqvLIQmMCOxBp3x,caluma844,,22396420,,Diurno,Colmena,Part time,6
Norma Ceja Canales,noceca787@viajes.cl,emi1CO6jJWPWli6,Normacanales578,+56 2 9166 4129,29097525,,Diurno,Banmédica,Part time,5
Mónica Jurado Valles,Mónicavalles477@viajes.cl,3XMywBrEIrmL6,Mónicavalles727,+56 2 1571 1603,18192102,,Nocturno,Consalud,Part time,1
Lourdes Quintero Ordóñez,lourdes4205209@viajes.cl,nakocYI3tLWrDS8j,loquor623,+56 9 3973 7709,18931557,,Nocturno,Fonasa,Part time,0
Julio Tamayo Ávila,jutaáv641@viajes.cl,Lpq0T0bFRFrGSzA,jutaáv601,+56 2 9447 5558,25192530,,Nocturno,Fonasa,Full time,5
José Emilio Cerda Solano,josé4245489@viajes.cl,ZRfTjZ53k,josé587646,+56 9 0792 5361,12117696,,Diurno,Banmédica,Part time,3
Luis Ybarra Orellana,Luisorellana841@viajes.cl,kBfICn232gTzNvW,luis1932904,+56 9 4145 0270,18459981,,Nocturno,Consalud,Full time,3
Esperanza Barraza Pacheco,Esperanzapacheco849@viajes.cl,4VaF64mlUIgwXZ,esperanza4999935,+56 9 5873 2367,19547229,,Diurno,Colmena,Part time,7
Benjamín Hurtado Posada,behupo888@wass.com,Qc0ORQg7fG8S,Benjamínposada108,+56 2 0091 2798,29277104,-6130,,,,5
Reina Gálvez Leyva,Reinaleyva327@viajes.cl,1967tt0WNoJ,reina9009550,+56 9 0749 6776,16929123,,Diurno,Consalud,Full time,3
Elisa Anguiano Puente,elanpu412@viajes.cl,i5Tma0WUqU,elanpu448,+56 2 3994 7558,27073958,,Diurno,Colmena,Part time,K
Javier Abrego Mateo,Javiermateo256@viajes.cl,qdfWoggrc8d,javier8774848,+56 9 2193 7394,11372341,,Nocturno,Consalud,Full time,6
Cristina Meza Cedillo,cristina2812921@viajes.cl,n3U8g7GfoPLHkiBj,Cristinacedillo774,+56 2 1676 1375,24779293,,Diurno,Más vida,Full time,7
Gabriel Caldera Adame,Gabrieladame361@outluc.com,irAFWV90OTEd4,gacaad441,+56 9 0828 7340,28251166,,,,,5
Mario Alonso Benítez,mario3024191@tourket.com,b4hF5zKGb,mario5678756,+56 9 3688 9640,15165810,-13701,,,,5
Eva Aguilera Escobedo,eva5525398@viajes.cl,1Hch0e265NUF,eva1482540,+56 2 1466 6839,26400826,,Nocturno,Fonasa,Part time,3
Sergio Arteaga Romo,Sergioromo646@viajes.cl,VmPL75N4ixwmWlc,Sergioromo461,+56 9 3747 3478,23819083,,Nocturno,Fonasa,Full time,5
Raquel Roldán Holguín,Raquelholguín560@viajes.cl,29FzYMxham,Raquelholguín764,+56 2 0359 8989,21334607,,Nocturno,,Part time,5
María Elena Abrego Contreras,maelabco272@viajes.cl,6nlVSaZ0W,maría7275226,+56 2 8463 2241,20439274,,Nocturno,Más vida,Full time,9
Ana María Cano Delapaz,anmacade780@viajes.cl,cbChodFrVmO2,Anadelapaz589,+56 9 6088 6357,26598032,,Nocturno,Más vida,Full time,5
José María Alonzo Mata,jomaalma170@viajes.cl,KPo725A6lPZ8nj8l,Josémata696,+56 2 0215 6114,22286639,,Nocturno,Colmena,Full time,1
Horacio Alba Meza,horacio1035112@viajesanma.com,eNynBC73j6q7kG,horacio2770914,+56 2 7091 5871,15611709,-5615,,,,9
Verónica Ordóñez Pacheco,veorpa980@viajes.cl,TKKzhbyZd5kzrA5q,verónica2323240,+56 9 2250 9342,20193101,,Nocturno,Fonasa,Part time,0
Gabriel Loya Posada,Gabrielposada795@viajes.cl,oq8D4Iwe,gabriel965193,+56 9 7352 4263,22623477,,Diurno,Fonasa,Part time,2
Ana Luisa Cornejo Rivero,Anarivero619@viajes.cl,zgkIqBC24AiM,ana9746708,+56 2 8551 0299,10655157,,Nocturno,Banmédica,Full time,K
Sta. José Luis Loya Soria,sta.8744824@viajes.cl,fS5rPkoEC,stjoluloso130,+56 9 1818 4079,28116297,,Diurno,,Full time,7
Gabriela Reynoso Guevara,gabriela4787419@viajes.cl,Zyxvu4toP,gabriela1789747,+56 9 1736 1546,26151925,,Nocturno,Fonasa,Full time,9
Alicia Velasco Castellanos,alveca156@viajes.cl,PYOrLpyzD73G,alveca773,,21545563,,Diurno,Consalud,Part time,7
Timoteo Solís Domínguez,Timoteodomínguez465@viajes.cl,C6i592p66qYaB0J,Timoteodomínguez361,+56 2 5991 0115,11983864,,Nocturno,Más vida,Full time,9
Hernán Barreto Acosta,hernán1890960@viajes.cl,FSFbaOrvY7,hernán5753989,+56 9 9749 8884,22155021,,Nocturno,Colmena,,8
Sra. Leonor Reyes Preciado,srlerepr997@tourket.com,FYI9vhTBVvvW1TEW,Sra.preciado529,+56 2 5102 0167,27811892,-3866,,,,4
Ángela Gallegos Gallardo,ángaga278@viajes.cl,K9jOLpDV1,ángaga746,+56 2 3635 9094,18740144,,Nocturno,Fonasa,Part time,5
Teodoro Araña Peña,Teodoropeña685@wass.com,G5YqZcw23,teodoro2824239,+56 9 6717 7450,13527862,,,,,9
Sta. Conchita Alaniz Saldaña,sta.3035395@tourket.com,b8brYlXffm,Sta.saldaña440,+56 9 9669 6808,21408751,,,,,0
Ramón Caldera Jurado,Ramónjurado680@viajes.cl,37yWJ80bLmL,racaju926,+56 9 8979 7734,11085669,,Nocturno,Colmena,Part time,5
Sta. Claudia Miranda Cantú,sta.7049740@tourket.com,chyqhhC53eK,stclmica867,+56 2 9091 2704,25021174,,,,,0
Lourdes Solorzano Arce,Lourdesarce209@viajes.cl,TYzOKwNzhUs53R,lourdes1762887,+56 9 5174 7344,19022794,,Diurno,Banmédica,,4
Andrea Rolón Vela,anrove982@viajes.cl,smBJHXiZw7O5,anrove870,+56 2 0252 6158,23711790,,Diurno,Más vida,Part time,5
Adán Rubio Vélez,adruvé344@viajes.cl,91ZjP76W9s,adán8583549,+56 9 0549 8521,26255975,,Diurno,Colmena,Part time,0
Ana María Cano Meraz,ana1243422@viajes.cl,OZ0HR9eCi3Abl9,Anameraz229,+56 2 8824 4110,11541661,,Nocturno,Banmédica,Full time,8
Esteban Estévez Elizondo,Estebanelizondo783@viajes.cl,AkMePQ1iyen88H4,Estebanelizondo907,+56 2 5515 3902,29710034,,Nocturno,Banmédica,Part time,3
Sr. Lorena Quintero Fernández,srloqufe240@viajes.cl,q65txVE6NnD,sr.2926780,+56 2 9136 7932,19987268,,Nocturno,Banmédica,,0
Leonor Terán Soliz,Leonorsoliz140@outluc.com,CJ91wCBwV1FkVyP,Leonorsoliz801,+56 2 4269 3684,10781549,,,,,K
Sra. Mario Bahena Pacheco,sra.867154@viajes.cl,r5zv4V3ait,Sra.pacheco109,,13125524,,Nocturno,Fonasa,,1
Salvador Alanis de Jesús,Salvadorjesús766@viajes.cl,BTI7UFiYRnJI,saaldeje843,+56 2 3660 8745,22058373,,Diurno,Consalud,Full time,2
Ana Águilar Collazo,Anacollazo583@wass.com,UDHpoa7QV4Y2,ana1246206,+56 2 2656 6677,22945932,-11115,,,,5
Ramona Zelaya Cardona,Ramonacardona734@edubus.cal,IErAN2iY6mgurQc,razeca229,+56 2 5728 1202,22468799,,,,,0
Ramón Bustamante Cedillo,Ramóncedillo274@viajes.cl,MCEThk0rGy02L,ramón8411138,+56 9 4186 8772,14341556,,Diurno,Consalud,Full time,2
Rosa Tijerina Velasco,rosa3292475@viajes.cl,1OmmW17sR3vM,Rosavelasco450,+56 9 4030 7501,17336866,,Nocturno,Banmédica,Full time,6
Juan Carlos Granados Toledo,juan2477901@outluc.com,yG0AfdP681jSbc,juan3400874,+56 2 4425 3113,25552283,,,,,3
Alicia Carrasquillo Delgado,alcade356@viajes.cl,yDAp4onzS,alcade570,+56 2 1906 7514,28378465,,,Consalud,Part time,7
María Eugenia Molina Olivo,maría6926441@viajes.cl,U0BMylNP1Id,maría9320683,+56 9 0581 8018,28096042,,Nocturno,Más vida,Part time,K
María Teresa Reyes Acuña,maría6183440@viajes.cl,EQB28J1nzhaN2XH2,matereac977,+56 2 8812 5619,18430389,,Diurno,Banmédica,Part time,2
Raúl Rivas Rendón,Raúlrendón304@viajesanma.com,MZB4jhcAUt9xyspr,raúl4374958,+56 9 1809 2107,20431493,-3365,,,,4
Hernán Téllez Montero,hetémo696@viajes.cl,jJeRQ5edsNqAO,hernán7137712,+56 2 6145 9690,24105672,,Nocturno,Más vida,,4
Javier Leal Armijo,jalear437@viajes.cl,nDggyTlMG1Esn38,jalear330,+56 2 1690 9550,27004979,,Diurno,Consalud,,6
Sta. Hernán Mayorga Girón,sthemagi384@viajes.cl,nFAy1KiV,sthemagi518,+56 2 1030 5220,24878010,,Nocturno,Consalud,Full time,K
Hugo Sanabria Atencio,husaat905@outluc.com,QMnL1kdUxNvJrESO,husaat998,+56 9 5658 0487,16733761,,,,,9
Alejandra Suárez Pelayo,alejandra9343406@viajes.cl,7GuMjBYT,alejandra3205419,+56 2 5135 0412,22778273,,Nocturno,Banmédica,Full time,0
Teresa Montenegro Perales,teresa7429718@marmol.com,Pyp0zmXfPBir,teresa2584666,+56 9 8148 2797,29995613,,,,,K
Ramiro Negrón Candelaria,ramiro6881877@viajes.cl,le3fMnDyiE11N,ramiro4296869,+56 2 7972 1454,28792068,,Nocturno,Banmédica,Part time,7
Manuela Duran Alvarez,Manuelaalvarez722@marmol.com,WasMY9eE,manuela6091306,+56 9 8560 0777,24370035,,,,,3
José María Castillo Gastélum,josé3908539@viajes.cl,0ZFL54ax,josé6122393,+56 2 9767 1796,22346994,,,Fonasa,Full time,9
Guadalupe Cornejo Carranza,guadalupe4581165@viajes.cl,78ffZ6qCUdVRiqO5,Guadalupecarranza550,+56 9 6252 7994,12186782,,Diurno,Más vida,Full time,6
Patricia Menchaca Casanova,patricia8996692@viajes.cl,U2uX2YJAfbDiOX,pameca599,+56 9 1854 1583,11001789,,Nocturno,Más vida,Full time,8
Reina Velasco Collado,Reinacollado243@viajes.cl,MYy0OAEA5,reveco823,,15593992,,Nocturno,Banmédica,Part time,3
Jorge Luis Carrasco Montoya,jorge5266606@viajes.cl,oerNT736h,Jorgemontoya999,+56 2 2514 2178,20850666,,Diurno,Más vida,Full time,8
Lucas Navarro Feliciano,lucas4005174@viajes.cl,X4jzsxqW8JElJu,Lucasfeliciano168,+56 2 2392 3457,20929815,,Nocturno,Consalud,Part time,5
Sr. Lourdes Tórrez Barrera,Sr.barrera752@tourket.com,LOMBIuihNJ7P7,srlotóba770,+56 2 1099 5214,26248408,,,,,4
Joaquín Suárez Mojica,joaquín6096243@tourket.com,ss9r5J78kvxqRI8,josumo217,+56 2 6298 9145,29099298,-10413,,,,2
Lourdes Solorzano Rivero,losori293@wass.com,1hBKZbX6bcb1,Lourdesrivero135,+56 9 3423 3621,29084067,,,,,8
Sta. Hernán Leal Gálvez,sta.5368684@edubus.cal,OFgvH8PExqkY9v,Sta.gálvez179,+56 9 9581 1469,22274511,,,,,K
Sancho Valencia Ontiveros,savaon858@viajes.cl,3CxbXtrLn2PgA65,Sanchoontiveros636,+56 2 9569 0163,22321547,,Nocturno,Colmena,Part time,5
Rosario Crespo Collazo,rocrco693@edubus.cal,Kc97IRNgBhgaB5,rosario209537,+56 9 9621 6694,29086189,-2046,,,,6
Alberto Padilla Godínez,alpago246@viajes.cl,kWXVONL9seLz,alpago204,+56 2 0637 1950,21532368,,Nocturno,,Full time,4
María Soledad Gil Delvalle,Maríadelvalle249@viajes.cl,GqIjKzXVKoL1pN,Maríadelvalle724,,21134562,,Diurno,Fonasa,Part time,4
Graciela Núñez Castellanos,grnúca824@viajes.cl,03GZAAvbN6,Gracielacastellanos362,+56 2 8667 3569,25484390,,Diurno,Más vida,Part time,3
Elvira Báez Robledo,elbáro341@viajes.cl,8mE44PXe5YqjA,elbáro567,+56 2 4557 1983,24832638,,Diurno,Más vida,Part time,7
Arturo Delacrúz Peres,ardepe428@viajes.cl,DG0Gf41RlAPuKx,Arturoperes805,+56 2 8644 3899,21891230,,Diurno,Banmédica,Part time,3
Armando Badillo Gutiérrez,arbagu510@viajes.cl,WFdlXcVWi8QGV,armando4646876,+56 9 2538 1810,28962810,,Diurno,Consalud,Part time,K
Esperanza Briseño Candelaria,Esperanzacandelaria990@viajes.cl,InsMTqb2F4QnXX,esperanza6044473,+56 9 9085 2179,13750336,,Diurno,Colmena,Full time,0
Marisol Crespo Murillo,macrmu157@viajes.cl,INDaVU4uU,marisol6321295,,19403712,,Diurno,Banmédica,Part time,0
Julio César Cardona Anaya,jucécaan587@viajes.cl,8t1oJWw8psb2v9,julio1601933,+56 2 3866 0506,10593403,,Diurno,Consalud,Part time,3
Elvira Oquendo Iglesias,Elviraiglesias305@viajes.cl,E2GUQgynyOVw7,eloqig646,+56 2 0930 6770,24519540,,Nocturno,Banmédica,Part time,0
Sr. Inés Baca Sarabia,sr.2527428@viajes.cl,X7LYTxl2tSSnmQrm,Sr.sarabia967,+56 2 8178 7899,14892765,,Nocturno,Consalud,Part time,0
María Eugenia Raya García,maría3179898@edubus.cal,L20sXQkaGEuse,maría2368242,+56 2 7546 3112,10643698,,,,,3
Mayte Gallegos Aponte,Mayteaponte518@viajes.cl,JPY4aPSpw867a,mayte4618320,+56 9 9826 6829,23343150,,Diurno,Más vida,Full time,8
Timoteo Montes Orellana,Timoteoorellana761@viajes.cl,CyzTpeRtyWz9,Timoteoorellana852,+56 9 7187 0739,15926252,,Diurno,Fonasa,Full time,9
Ramona Cantú Cedillo,ramona8318679@viajes.cl,eKkNT5nJ5hFBuQQ,Ramonacedillo157,+56 2 2285 8709,15781770,,Diurno,Banmédica,Part time,1
Luisa Escalante Estévez,lueses830@viajes.cl,Qoo5KXsc6s5Fsx,Luisaestévez136,+56 2 9680 2670,21791436,,Nocturno,Colmena,Full time,1
Olivia de Anda Collado,oldeanco821@viajes.cl,HBa9C7xeA,oldeanco717,+56 2 7689 9104,24979410,,Diurno,Consalud,Part time,4
Sra. Pilar Leyva Alanis,Sra.alanis701@viajes.cl,9LjJzpsWt,sra.8214446,+56 2 7835 9898,24202668,,Diurno,Más vida,Full time,3
Sta. Silvia Morales Torres,sta.9660229@viajes.cl,f4Aw9t2LrT8,sta.7731176,+56 2 0545 1650,21168251,,,Fonasa,Full time,5
Sta. Óscar Jasso Ramírez,sta.6733753@viajes.cl,nthk28eVOA,sta.4515627,+56 9 2671 5234,28799467,,,Más vida,Part time,2
Natalia Guajardo Tamayo,natalia8789422@viajes.cl,2DtNM4WHWKxJhHe0,naguta321,+56 2 3876 7104,18915868,,Nocturno,,Full time,8
Mateo Ontiveros Leal,mateo2584848@viajes.cl,8pAXNA4wpcfF,mateo2532715,+56 2 8480 3390,13720132,,Nocturno,Banmédica,Full time,1
Gilberto Otero Ayala,Gilbertoayala702@viajes.cl,vCdRgDufSX5c4,giotay726,+56 2 8103 2348,12272934,,Diurno,Fonasa,Full time,6
Sta. Lourdes Paz Acosta,Sta.acosta525@tourket.com,ZQemGximcPwi0,Sta.acosta959,+56 9 0153 3641,13324573,,,,,1
Cristina Orta Armas,crorar804@viajes.cl,zbwEmM8F2xwTK,Cristinaarmas228,+56 2 0683 8303,29694480,,Diurno,Consalud,Part time,7
Julia Olivárez Olivo,juolol339@viajes.cl,lNF7T4zZx,juolol755,+56 2 9978 0963,13327840,,Nocturno,Más vida,Part time,0
Cecilia Niño Ávila,cecilia9491795@viajes.cl,qWZpps2N1BdEWvt,Ceciliaávila403,+56 2 9611 9887,13299278,,Nocturno,Más vida,Full time,9
Homero Reséndez Ruiz,homero1275324@viajes.cl,PaF2sxjYUW5b,horeru960,+56 9 8197 3255,17354150,,Diurno,Más vida,Full time,3
Francisco Gallardo Alba,Franciscoalba215@viajes.cl,i6K3SYkwAuhhuLs,francisco5509867,+56 2 4442 4215,28648891,,Nocturno,Más vida,Full time,9
Julia Naranjo Rosales,Juliarosales301@outluc.com,fz68wT2F6,junaro972,+56 2 8172 3564,12501020,,,,,2
Antonio Aragón Quiroz,Antonioquiroz229@tourket.com,w3kSzfEI1Ua,anarqu865,+56 9 2100 2268,28167760,-5610,,,,8
Benjamín Alanis Barragán,benjamín9439784@viajes.cl,NVGr09IRqHmKm,bealba754,+56 9 3419 1440,23632681,,Diurno,Banmédica,Full time,0
Sta. María Eugenia Crespo Gaona,Sta.gaona818@viajes.cl,9sr9GHArg,Sta.gaona786,+56 9 9298 6166,15960867,,Diurno,Banmédica,Full time,0
Silvia Peres Centeno,silvia4184684@viajes.cl,t0sVwgA1uQ3,Silviacenteno376,+56 9 7079 3072,18967898,,Diurno,Más vida,Part time,3
Olivia Dueñas Guerra,olivia5797726@wass.com,W4O9at7A,olivia7393697,+56 9 0786 0446,29839552,,,,,5
Leonor Cervántez Montero,leonor3521619@wass.com,aza1WFDQ7ug,leonor5906179,+56 9 5077 1162,11704222,,,,,7
Mariano Solorio Garibay,masoga180@viajes.cl,DwEe0AyT,masoga964,+56 2 6627 0818,28840328,,Nocturno,Consalud,Part time,7
Caridad Verduzco Lebrón,caridad6182643@tourket.com,6mAwXfC5Mk,Caridadlebrón853,+56 9 7748 0641,17387607,,,,,6
Ángela Venegas Cadena,ángela4947162@viajes.cl,yH6KLuMdnw5,ángela7249591,+56 9 5254 5405,19525166,,Nocturno,Colmena,Full time,5
Bernardo Gracia Meza,Bernardomeza483@viajes.cl,WqY2Pt9wUP4k9,begrme860,+56 2 6688 3805,21762302,,Nocturno,,Part time,2
Rocio Rendón Ayala,rocio4724470@viajes.cl,7bNCPAhd5dBq0,Rocioayala941,+56 9 3319 6526,15412113,,,Fonasa,Part time,7
Sra. Soledad Prado Morales,sra.9402989@viajes.cl,aeIcvk07WukmpzL,sra.9284224,+56 2 1141 7148,13669281,,Diurno,Consalud,Full time,K
Sta. Silvia Rolón Estrada,sta.847296@wass.com,qz2HgvEOZ,sta.2586539,+56 2 8848 0282,26469421,-6063,,,,3
Sta. Rosa Raya Carvajal,stroraca212@viajes.cl,zCyMsmVQFY7S,stroraca629,+56 9 4983 9434,22089504,,Diurno,Banmédica,Part time,1
Ana María Núñez Dueñas,ana8583900@tourket.com,IL0yJhzxFcZ7,Anadueñas692,+56 2 6617 1828,11327486,-7446,,,,7
Sr. Concepción Jimínez Tamez,Sr.tamez864@viajes.cl,ySUzJcxI1,srcojita409,+56 9 9293 9387,27517325,,Diurno,,Full time,8
Gonzalo Pedraza Mora,gopemo896@viajes.cl,lXT4dxHnb5zAX,gonzalo6591764,+56 2 1224 3204,10696886,,Diurno,Fonasa,Full time,1
María Teresa Salas Valladares,Maríavalladares172@viajes.cl,qEoWyh7n,maría7385870,+56 2 6909 7902,16962080,,Nocturno,Colmena,Part time,6
Pedro Espinoza Pelayo,Pedropelayo325@viajes.cl,ZpgLNWZw4yJK0,Pedropelayo138,+56 9 1533 5219,21772044,,,Fonasa,Part time,3
Alberto Banda Cervantes,Albertocervantes264@tourket.com,R8mawKvRq669sW,albace836,+56 2 8901 0843,14369637,-14384,,,,5
Leonor Moya Montalvo,lemomo979@viajes.cl,WZuEt2LjOU5Df,lemomo186,+56 9 1166 5981,21235509,,Nocturno,Fonasa,,7
Mateo Serrato Arriaga,mateo7221105@viajes.cl,PTRuWX83sJ2GiN2,mateo6886949,+56 9 3326 2324,29977124,,Nocturno,Banmédica,Part time,5
Armando Delrío Magaña,Armandomagaña635@viajesanma.com,7nKDV3w5ztNp5m2n,ardema973,+56 9 3544 6125,12901514,,,,,4
Lourdes Alemán Rodarte,lourdes3752581@viajes.cl,TNGA1d8SYpFDY,Lourdesrodarte398,+56 9 4736 5401,27617258,,Nocturno,Colmena,Full time,1
Eloisa Cavazos Lerma,eloisa1741681@viajes.cl,8731IeKMNl3Kj,Eloisalerma367,+56 9 6196 4937,23768623,,Diurno,Consalud,Part time,3
