nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Blanca Vélez Villagómez,Blancavillagómez357@viajesanma.com,EdOSymN7,blanca658851,+56 9 7927 2203,-18870894,0,,,,3
Daniela Briseño Villalpando,Danielavillalpando367@viajes.cl,,dabrvi950,+56 9 8335 4710,28196268,,Diurno,Banmédica,Part time,K
Sta. Sancho Meléndez Saldaña,,H3Ypat8mWCc2TBo,Sta.saldaña884,+56 2 3635 3306,25221425,,Nocturno,Banmédica,Full time,9
,malumalo112@wass.com,LD5ZrmGwyQV,maría1779566,+56 2 9725 0739,1314650,27393,,,,0
Verónica Maya Alba,vemaal998@marmol.com,wq9FrOxAK,vemaal130,+56 9 2980 2108,7976286,12738,,,,5
,inveve365@wass.com,Pn58Go0r,Inésvelásquez295,+56 9 1795 9775,,2440,,,,
Dorotea Valdés Delagarza,dovade352@marmol.com,E6MqYJu4xP6tJGdN,,,5198466,7064,,,,8
Andrea Guardado Cotto,Andreacotto787@edubus.cal,Su2avNgEvy,,+56 9 5067 3299,29086500,24100,,,,K
Enrique Otero Alfaro,Enriquealfaro216@edubus.cal,cIqT32XHz3hTy0,,+56 2 9582 5367,20898384,5890,,,,9
Alfredo Sarabia Zaragoza,alfredo8747429@viajesanma.com,T0NDlQZzSIqv2wMe,Alfredozaragoza979,+56 2 8454 6711,1296165,0,,,,0
,,iQ8UBkGjQ3QU7S,Gabrieltamayo921,+56 2 3796 5414,20698217,0,,,,9
,macrsemo312@viajesanma.com,90hgt2DzBlH1M,maría4318990,+56 9 6926 5012,12670101,12768,,,,2
Gloria Márquez Padilla,glmápa136@viajes.cl,ahUk9u06rDNTvGcE,Gloriapadilla881,+56 2 4252 3464,3375621,,Diurno,Consalud,Full time,6
Rafael Aranda Piña,Rafaelpiña439@viajesanma.com,,rafael9263480,+56 2 9438 0492,,-1908,,,,
Marcela Quintana Valadez,,ratN295pHRZR,Marcelavaladez472,+56 9 2217 5634,27705869,0,,,,3
Lourdes Samaniego Anguiano,,ccPtFdY8ylfJC,losaan747,+56 9 2886 9390,14919885,,Nocturno,Banmédica,Full time,7
Sergio Matos Zúñiga,semazú292@viajes.cl,,semazú822,+56 2 2139 8820,11480298,,Diurno,Fonasa,Full time,0
María del Carmen Meléndez Cavazos,madecameca958@tourket.com,cwEpHHwK3j73,,+56 2 6242 8902,4537597,385,,,,8
Sta. Miguel Noriega Cruz,Sta.cruz941@edubus.cal,yq94qF7G7ZDYb,Sta.cruz704,+56 9 8814 4039,-26620572,504,,,,4
Pilar Meléndez Hernandes,,HfPajTP6X,Pilarhernandes219,+56 2 7057 2642,6926236,,Nocturno,Más vida,Full time,8
Alberto Abrego Samaniego,alberto5174210@viajes.cl,hDyVZ2dza4t,alabsa290,+56 2 4554 5043,7116150,,Diurno,Consalud,Part time,1
Sr. Marilu Guajardo Bermúdez,sr.1320668@edubus.cal,jN54oZSJRiA,sr.8851105,+56 2 3921 5099,,3831,,,,
Nicolás Galindo Meza,Nicolásmeza899@edubus.cal,v66HQ7HH,,+56 2 0809 1028,4504652,808,,,,4
Lola Aranda Varela,loarva272@viajes.cl,Wi89KvL2KBn4n7,loarva410,+56 2 7715 8858,737003,,Nocturno,Banmédica,Part time,2
,lorenzo3567443@outluc.com,1yIp52n6f4Jb,Lorenzovilla919,+56 9 6844 3942,12623833,23915,,,,9
Sr. Javier Irizarry Ortiz,,Y4TdGCz4S5,sr.8455662,+56 2 0100 8803,17860295,,,,,0
Ignacio Cano Alanis,igcaal675@viajes.cl,PY8wzj4HOP8n,igcaal632,+56 2 9232 8909,6097076,,Diurno,Más vida,,9
Gerardo Rosales Mascareñas,gerardo8322963@marmol.com,,Gerardomascareñas873,+56 9 9448 8209,-3438512,898,,,,2
Sra. Ramona Correa Banda,Sra.banda816@viajes.cl,6Ya96yqH4R3PcEA,Sra.banda947,,6808733,,Diurno,Fonasa,Part time,3
,,HTWjby86eqQus,Sta.gurule340,+56 2 3973 2335,5510937,0,,,,0
Guillermina Lucio Reynoso,Guillerminareynoso974@wass.com,X2ltJJWHu1,Guillerminareynoso432,+56 9 3816 7439,5747048,663,,,,8
Eloisa Vanegas Madrigal,elvama419@viajes.cl,2Q8HVxcfTa,eloisa747202,+56 2 9029 3002,-901986,,Diurno,Consalud,Part time,3
,ignacio5569613@viajesanma.com,jgyWvzzUk7K,ignacio6136178,+56 2 9465 0588,27850165,5058,,,,5
Raúl Soliz García,Raúlgarcía387@marmol.com,G3q0qumNFcU,raúl2352489,+56 2 6290 0759,,1344,,,,
Sta. Ignacio Noriega Sánchez,Sta.sánchez524@tourket.com,L0I1avmJZRl0OUZM,,+56 2 7030 2496,2280421,8766,,,,9
Mayte Rodrígez Mateo,maroma684@marmol.com,aHRA0U7r,maroma739,+56 9 3525 0191,2367726,13450,,,,1
Sta. María José Tejada Ozuna,,SiPez9mT6XeKCS,Sta.ozuna876,+56 9 7590 5604,1058863,,Diurno,Colmena,Full time,4
,srjugáce908@viajes.cl,td1w9hFrONg,srjugáce563,+56 2 9498 5903,18012968,,Diurno,Más vida,Part time,5
Sta. Marco Antonio Bravo Garrido,sta.1573811@viajes.cl,o4YG5YrJZQtZ,stmaanbrga700,+56 2 3836 3217,9999526,,Diurno,Más vida,Full time,2
Sra. Gilberto Altamirano Valencia,Sra.valencia601@tourket.com,7NmxyX0p,srgialva469,+56 2 7675 3087,6637510,6576,,,,2
Victoria Vargas Contreras,victoria3428552@wass.com,m8vVl1jZB,Victoriacontreras330,+56 2 7038 6617,7928036,15580,,,,4
Sta. Mario Prado Benítez,sta.3467745@outluc.com,YkR554sOSzzbh,sta.3476250,+56 9 1616 8829,,3276,,,,
,geluga160@viajes.cl,REIS4WaWpfs,germán8005501,+56 2 6644 7654,9277283,,,Colmena,Full time,7
Sra. Margarita Mondragón Mateo,sra.8049853@viajes.cl,,,+56 2 0656 8077,18114686,,,Fonasa,Full time,9
Gerardo Casanova Briseño,Gerardobriseño638@viajes.cl,svXaK62tf1z,gecabr512,+56 9 0821 4013,3836008,,Diurno,Fonasa,Part time,6
Josefina Sandoval Amaya,josaam611@tourket.com,A1KTQ6V5xHcyIIyI,,+56 2 0421 3184,28180393,0,,,,K
Adán Monroy Rincón,adán8981286@viajes.cl,ja0z2hScok7Hs1,adán9807393,+56 9 0813 7408,-8515239,,Nocturno,Más vida,Full time,4
Ramiro Razo Laureano,Ramirolaureano860@viajes.cl,noB77SeBIH8rp,Ramirolaureano529,+56 9 3571 6484,,,Nocturno,Más vida,,
Pedro Maldonado Arredondo,pedro3945743@edubus.cal,vy9HWPpXzeOTIWG9,Pedroarredondo747,+56 9 8182 5356,9207746,0,,,,2
Víctor Abrego Razo,víabra671@marmol.com,,víctor2563624,,13003724,0,,,,0
Patricio Heredia Solís,patricio865861@tourket.com,NED3pVK8uPz,paheso462,+56 9 7956 9884,,0,,,,
Cristian Velásquez Orellana,crveor204@viajesanma.com,,Cristianorellana476,+56 2 0819 0293,1214135,5233,,,,1
Adela Guardado Ojeda,,Nsg2V0b7,adguoj670,+56 2 0267 7871,10540093,,Nocturno,Más vida,Part time,4
María Elena Quintana Bueno,maelqubu754@viajes.cl,niycaspJvY9Pj,maría3457232,+56 9 9860 8276,9753211,,,Banmédica,Part time,7
Rodrigo Lugo Zelaya,rodrigo7922805@viajes.cl,vRhHwDdn8R,Rodrigozelaya839,+56 2 5760 6653,6783842,,Nocturno,Consalud,,4
Gilberto Almanza Ozuna,gialoz782@viajesanma.com,NqXdVTj30,Gilbertoozuna281,+56 2 1512 1489,5125257,4266,,,,8
Bernardo Vega Aranda,bevear628@viajesanma.com,,Bernardoaranda262,+56 9 5077 1428,412985,1629,,,,7
María Teresa Márquez Ceballos,maría1521537@viajesanma.com,jsoxFyyH2ax8gy,matemáce439,+56 2 2510 3460,3002627,251,,,,6
Ernesto Acevedo Montes,Ernestomontes257@viajes.cl,hGPu594U97jUA,Ernestomontes559,+56 9 9415 8539,,,Nocturno,Colmena,Full time,
Manuel Trejo Domínguez,manuel7025742@outluc.com,,manuel1882451,+56 9 4355 4632,22735675,1286,,,,8
Miguel Ángel Menéndez Garay,miánmega822@viajes.cl,c174qIkFst2MxpiQ,,+56 9 3444 6205,12141605,,Diurno,Banmédica,Part time,0
,,2BMewDEGUp7MNa3,maelcize560,+56 2 2019 0634,1351910,,Nocturno,Colmena,Full time,2
Maricarmen Granado Uribe,,,maricarmen2352849,+56 9 8688 4197,16752846,0,,,,5
Pedro Girón Bahena,pegiba764@edubus.cal,,pegiba429,+56 9 3383 5318,10950534,0,,,,K
Timoteo Carmona Mesa,,TTUiER5uJDlHM,Timoteomesa912,+56 9 8787 2348,243927,113,,,,1
Jorge Valdez Rosas,Jorgerosas657@wass.com,XoLpJK1SP7jKAA2,jorge8569908,+56 2 7109 8732,-28143547,0,,,,7
María Luisa Alemán Ozuna,Maríaozuna345@edubus.cal,bzHKYqT6HNr,malualoz482,+56 2 9342 4288,4684712,1299,,,,1
Anita Sierra Patiño,,FyI3XjAXi50t,Anitapatiño981,+56 9 9240 6848,7498833,24362,,,,4
Sr. Gilberto Hernández Vaca,Sr.vaca608@marmol.com,1rlNme7GgJgZ,Sr.vaca886,+56 2 3692 1358,,,,,,
Amalia Huerta Quiñónez,amhuqu359@outluc.com,Hz64nhxNQS,Amaliaquiñónez730,,3958434,10227,,,,4
Fernando Sierra Rojo,fesiro310@viajesanma.com,AFuG31zF0eg0,Fernandorojo330,+56 2 4084 2417,6702405,0,,,,2
,jomooc207@marmol.com,,joaquín1940627,+56 2 9198 7058,17316121,5523,,,,2
Cecilia Heredia Gallardo,cehega692@viajes.cl,RjROcA29c3L9X,cehega242,+56 2 7082 8649,-6026760,,Diurno,Fonasa,Full time,K
Benito Medrano Robledo,Benitorobledo603@outluc.com,Bkrs6zriW2,benito4459910,,2142988,3956,,,,0
Carla Manzanares Valencia,carla7172156@wass.com,f1zCMctlPnIB2kZ1,carla1863691,+56 2 4888 3716,2267829,4860,,,,9
Rosalia Olivas Delafuente,rosalia9975276@outluc.com,Xd9bdOsQ5Qarn,,+56 9 6219 5257,22200364,12764,,,,4
Gerardo Maya Agosto,gerardo2771416@edubus.cal,AeRua9pS9Wlg,gerardo211306,+56 9 8678 8804,8812958,1036,,,,K
Samuel Valles Córdova,Samuelcórdova913@tourket.com,J29gkg1aRiBIqBC,savacó960,+56 9 4722 2160,5433893,12093,,,,7
Rafael Grijalva Moreno,Rafaelmoreno644@tourket.com,IxFkIU3D8O0,,+56 9 3670 0750,25807660,9872,,,,5
Sta. Alfredo Carrera Márquez,,98f9RVcx,stalcamá501,+56 9 2643 3750,13829811,6359,,,,6
Lilia Cazares Carrasquillo,licaca186@wass.com,MdCv8TKJ2M,Liliacarrasquillo295,+56 2 7496 4288,-23519498,5007,,,,8
Juana Vega Núñez,,wwmNtnRNKptYk6,juvenú912,+56 9 8245 9638,14677038,1998,,,,K
Sr. Lorenzo Alanis Olivo,Sr.olivo335@tourket.com,Nv34mAin6rA8nN,Sr.olivo787,+56 2 5517 4209,,1750,,,,
,ariadna8166322@viajesanma.com,JHX6SVpTd0MduoVW,armave663,+56 2 9344 9225,19746537,4776,,,,9
Carlota Puente Flórez,Carlotaflórez433@edubus.cal,mt6ae0JkijOoI5gg,Carlotaflórez757,+56 9 8641 3317,,,,,,
Ramiro Estévez Arenas,raesar203@wass.com,b4RPB4saiNyB,raesar309,+56 9 5367 3029,2980023,0,,,,5
Barbara Terán Gil,Barbaragil299@edubus.cal,,,+56 2 7771 2528,20294618,0,,,,6
Tomás Sierra Luevano,tosilu640@outluc.com,OxSGTzLx3BT,Tomásluevano652,+56 9 5712 9420,,,,,,
Sr. Yolanda Bueno Barreto,Sr.barreto906@edubus.cal,tgIZWiE65fJMvn,sr.4829246,+56 9 6687 7268,,14261,,,,
Francisca Cavazos Montoya,,,francisca9808198,+56 9 8581 5355,-16590866,,Diurno,Más vida,Part time,K
Agustín Cortés Deleón,Agustíndeleón463@wass.com,oL4mg1eJ,agcode208,+56 9 9749 5667,5350625,20273,,,,9
,artara334@viajes.cl,xf2VVsep3KG3,artara422,+56 9 4455 4650,8310825,,Diurno,Consalud,Part time,8
Virginia Samaniego Carrasco,visaca599@outluc.com,YTtAxo4dXY5,virginia703161,+56 9 7294 1499,,1316,,,,
Sra. Sofia Téllez Flores,sra.3677114@outluc.com,yQZvpfNt2,sra.6695521,+56 2 2297 9311,1838540,0,,,,6
Ana María Badillo Uribe,,Wf1Bllr8eWXp,ana9921646,+56 9 9582 2455,-3799475,-3962,,,,8
Germán Tejeda Cortés,geteco332@viajes.cl,R1CCMy8ZH,germán2624509,+56 9 2695 6078,6425868,,Nocturno,Consalud,Full time,0
Miguel Ángel Aparicio Arteaga,miánapar482@marmol.com,E5r8aX2d,miguel7461987,+56 2 3877 3795,1567046,0,,,,0
Alberto Rascón Villarreal,Albertovillarreal176@outluc.com,dFLTT90dyPB,Albertovillarreal636,+56 2 4566 6277,,17213,,,,
Sta. Luz Madrigal Muñoz,stlumamu560@viajes.cl,7QPD8AiNhENDev,Sta.muñoz736,+56 2 5209 1731,4718648,,Nocturno,Más vida,Part time,K
Rubén Bustamante Gracia,Rubéngracia541@viajes.cl,901wl7wcvAkp2oy,Rubéngracia869,+56 2 4489 5611,7178235,,Nocturno,Banmédica,Full time,2
Ignacio León Gamez,iglega922@outluc.com,yeqbrSULP0G,,+56 9 4303 1330,5291126,0,,,,5
,Isabelalcántar881@edubus.cal,0Y7GQY5qNEh3,isroal858,+56 2 6259 8767,11715208,,,,,1
Bernardo Anguiano Arias,Bernardoarias154@viajes.cl,,bernardo6966578,+56 9 8915 6669,10223241,,Nocturno,Colmena,Full time,0
Gloria Roybal Ocasio,,AH2IdlpXDp,Gloriaocasio247,+56 2 0176 8248,,,Diurno,Colmena,Full time,
Dolores Quesada de Anda,Doloresanda353@edubus.cal,r2HZycT4gZtf,Doloresanda406,+56 2 1245 2040,-4697083,36211,,,,7
,pilar5469194@viajes.cl,zFYm3v3Sao,Pilarflórez750,+56 2 6984 1029,12209769,,Diurno,Consalud,Full time,2
María Eugenia Toledo Matos,maeutoma963@wass.com,xxjX99I7xyL,maría2423100,+56 2 0602 1415,2044357,10676,,,,K
,jarear931@viajes.cl,0TQhU0KXFTorppxM,Jaimearanda515,+56 2 2665 1296,732489,,Nocturno,Consalud,Full time,8
Adán Ontiveros Reynoso,adán6921798@wass.com,JrMQMP3ZxS,adán8420647,+56 2 2676 2410,8195838,4626,,,,6
Sra. Lorenzo Cardenas González,,z3gvMEusBL7,Sra.gonzález918,+56 9 6449 1873,24272216,6876,,,,7
Marta Pulido Urrutia,Martaurrutia521@viajesanma.com,6HyBzFAjb4csA60,marta5680556,+56 2 3757 2352,7770542,10250,,,,2
Carolina Canales Vázquez,cacavá434@tourket.com,GQgZwQYxwZ9Ev2KH,,+56 9 3649 3215,,25675,,,,
María Bustos Juárez,mabuju896@viajes.cl,qwe1rv98YfBOe8Di,maría842755,+56 2 4512 9738,714359,,Nocturno,,Part time,1
Andrés Carrasquillo Jurado,ancaju206@marmol.com,trF9OQEjJEqyPA,ancaju200,+56 2 3443 2856,526149,5459,,,,K
,Lorenareséndez485@marmol.com,gbXd37JMI,Lorenareséndez472,+56 9 3986 1923,19663562,0,,,,9
Fernando Quintero Tejada,fequte883@marmol.com,I1eI3ntrBEUsXEBl,Fernandotejada866,+56 2 7039 5876,4061873,3392,,,,2
Josefina Palacios Alanis,jopaal349@viajesanma.com,kUmaIz1O0uEjSY,,+56 9 3634 8669,26251336,6291,,,,K
Sr. Lourdes Quintero Alva,sr.7274483@viajes.cl,ZmG03AfqDVe9yq55,srloqual739,+56 2 1690 2897,3070079,,Diurno,Fonasa,,1
,Maríaontiveros265@outluc.com,TRXQhqv1u,maría4698821,+56 9 8411 1714,12015489,0,,,,3
Sra. Carlos Casares Zamudio,srcacaza999@viajes.cl,EO1ihQNDE47YdBI,sra.9124194,+56 9 9818 2706,,,Nocturno,,Full time,
Miguel Ángel Leiva Niño,Miguelniño641@wass.com,JoDdBF2eogcSxA,miguel4382395,+56 2 0342 9711,9989688,970,,,,4
María José Sarabia Enríquez,maría7665694@viajes.cl,kPEeW5p2,majosaen229,+56 2 3663 1579,7087944,,Diurno,Más vida,Full time,1
Felipe Chávez Ruiz,felipe7618364@tourket.com,FaeEv7ltBKBU,felipe8128461,+56 2 4413 7278,-17651623,3870,,,,2
Susana Soria Palomo,susana9892181@marmol.com,sKIy60HYIxknk1s,Susanapalomo410,+56 2 1807 6018,,13134,,,,
Rocio Marroquín Becerra,rocio3393255@edubus.cal,38g01hQuwC16hPNW,Rociobecerra361,+56 2 0740 0014,7998448,12934,,,,5
Verónica Otero Madrigal,Verónicamadrigal490@edubus.cal,8CHncIFMXFDmdR0,verónica1267950,+56 9 2573 5353,7315313,8629,,,,1
Sra. Mateo Calderón Alonso,sra.1996500@wass.com,Umlg0otFaC6vZun,srmacaal858,+56 9 4372 3304,,0,,,,
Marta Salas Orosco,masaor254@tourket.com,,Martaorosco764,+56 9 2143 7453,16352701,20837,,,,4
Sra. Víctor Caraballo Carbajal,Sra.carbajal674@marmol.com,W9O2slXcn0Y,Sra.carbajal724,+56 9 1136 1304,,,,,,
Elvira Archuleta Razo,Elvirarazo717@viajes.cl,v8E9zkuYh,elvira9253535,+56 2 6052 8775,3857980,,Nocturno,Más vida,,0
Sra. Homero Olivas Castillo,Sra.castillo438@outluc.com,ywFo3Er171Hi,Sra.castillo886,+56 9 3650 6052,3867926,0,,,,0
Eloisa Moreno Ocasio,eloisa6206657@tourket.com,GBbev3U3t1qFRaY,eloisa674273,+56 2 8602 3439,8325530,5474,,,,7
Sr. José María Solano Duran,,sNH6VoY23T5Y,sr.6302478,+56 9 8322 3192,24716350,,Nocturno,,Full time,6
Ariadna Garrido Bernal,argabe875@marmol.com,rbbJa573B,ariadna5518551,+56 2 4707 3635,,20144,,,,
Sta. Lucas Laureano Montes,stlulamo760@marmol.com,1mQWAJ1M,stlulamo804,+56 2 8434 4404,7410294,902,,,,8
Ignacio Vega Arreola,igvear561@outluc.com,YaMCx2lM3Iq0P,igvear335,+56 2 5766 8995,6017718,0,,,,K
Pilar Ybarra Alonzo,pilar4142622@outluc.com,kIAW9u1S8dVRxzar,Pilaralonzo426,+56 9 9784 2062,9724307,3785,,,,7
,,12fcINx5,maliro758,+56 2 3889 5294,27912951,14439,,,,2
Eloisa Tamayo Caraballo,eltaca529@marmol.com,AVOJ9pqZU,Eloisacaraballo730,+56 2 0717 7451,2601590,0,,,,1
,Carolinafranco707@outluc.com,doa44jCGy,Carolinafranco664,+56 9 3024 1695,15144455,5685,,,,5
Octavio Otero Banda,,VMZxG3VEP,Octaviobanda819,+56 9 2471 3848,23352364,,Diurno,Colmena,Part time,K
Carlos Ruiz Carrillo,caruca852@viajes.cl,KVG4Up4FVKBt,caruca668,+56 2 7136 7061,8119508,,Nocturno,Banmédica,Part time,0
Rodrigo Mota Mejía,romome527@wass.com,5YLr80Qtn,romome267,+56 9 0763 7026,5134896,3119,,,,6
Sra. María Elena Ceja Delapaz,sra.7859461@tourket.com,,Sra.delapaz627,+56 9 7309 0899,28687853,,,,,9
Silvia Zaragoza Angulo,silvia7626610@edubus.cal,UI4tdPUX,,+56 9 0331 3367,-10812858,4322,,,,5
Berta Rosales Manzanares,beroma509@wass.com,dD5JICIeMuJgPaL6,beroma967,,1538163,11530,,,,9
Sra. Cristobal Montero Ramírez,,pkUMLREEVxoA2h,sra.3548830,+56 9 3026 2310,3628972,0,,,,4
Arturo Terrazas Alcántar,arteal325@viajes.cl,9TyI3gv9EVaVBijy,Arturoalcántar209,+56 9 5109 1617,6598177,,Diurno,Colmena,Full time,7
Patricia Menéndez Griego,Patriciagriego307@viajesanma.com,W49ocSCpl3,patricia4564209,+56 2 2074 0200,9260157,3235,,,,9
Rebeca Patiño Ruiz,rebeca1362244@viajesanma.com,oBNbvY9v,,+56 2 1683 1590,-12177193,306,,,,4
Sr. Josefina Lucero Flórez,Sr.flórez461@viajesanma.com,,srjolufl415,+56 9 6942 6977,6498516,0,,,,7
Sta. Ramona Vallejo Carrion,sta.4185906@viajes.cl,w4Iasjl18,sta.2442817,+56 9 9967 9238,2969524,,Diurno,Más vida,Full time,5
,maapde495@wass.com,Ygv1mzKVXV1,Marisoldelao873,+56 2 1825 9948,17662618,2949,,,,6
Irene Barragán Ocasio,irbaoc970@viajesanma.com,B6CyOpZsPWG,irbaoc832,+56 2 6405 7266,2695983,0,,,,7
Ricardo Murillo Corona,,ISrX2DmOi02DRm,Ricardocorona376,+56 9 5908 6494,29851202,4470,,,,5
Tomás Quesada Vázquez,Tomásvázquez529@marmol.com,,toquvá665,+56 2 8681 3048,6921575,9727,,,,0
José Arce Montañez,Josémontañez841@edubus.cal,K4cOll59AV,josé2248326,+56 9 0720 8939,,970,,,,
Claudia Quiñones Ávalos,claudia8569766@viajesanma.com,HHdX6fRet,claudia6105448,+56 9 8076 1279,5683994,,,,,1
Federico Reyna Gálvez,Federicogálvez952@viajes.cl,b1JDJqc01X,federico4723728,+56 9 6625 1613,-19127379,,Nocturno,Banmédica,Part time,6
Sr. Julio César Pineda Barela,Sr.barela594@viajes.cl,iunddsj7135h4G,Sr.barela722,+56 9 8539 7029,6562376,,Nocturno,Colmena,Part time,5
Martín Olmos Cepeda,maolce304@viajes.cl,,maolce190,+56 9 9909 6110,16648109,,Diurno,,Full time,0
Rafael Guajardo Montoya,Rafaelmontoya852@viajes.cl,kshdQ3y7uF8BY4K,rafael3808677,+56 9 2338 9436,,,Nocturno,Colmena,Full time,
Mateo Estrada Chapa,maesch441@outluc.com,zEiTtyyxU7u,Mateochapa858,+56 2 6360 7877,2690569,1260,,,,9
,antonia3866498@viajes.cl,5FcpPhtg7DMJ0g,,+56 2 9656 7903,25120735,,Nocturno,Consalud,Full time,6
Eva Laboy Posada,evlapo652@wass.com,,Evaposada889,+56 2 2045 6549,4048348,0,,,,9
Inés Saavedra Rodrígez,insaro364@tourket.com,6Z91FHjxlaum,Inésrodrígez756,+56 9 2868 1129,9082610,1792,,,,7
Gregorio Solís Mercado,gregorio534814@outluc.com,AAFXR2ZpbNEFdYV,Gregoriomercado349,+56 9 8754 6847,7096119,4405,,,,9
Sr. Florencia Soto Luna,srflsolu390@viajes.cl,8OH7zR4WDQ0nRc,sr.1671374,+56 9 4554 9455,-15929760,,Diurno,Banmédica,Full time,8
Ariadna Carrillo Sanabria,arcasa652@marmol.com,7OUwpVsMODN,,+56 9 8546 1319,,0,,,,
Marcos Mendoza Salcido,marcos890811@viajes.cl,h1r3ZqpP,marcos3032696,+56 9 0314 3403,3150186,,Nocturno,Banmédica,Full time,5
,,hUIQ259ox,allova849,,5543699,,Diurno,Consalud,,1
José Eduardo Mejía Tijerina,josé9007506@wass.com,pGEqGBxz2,josé6033174,+56 9 9099 8885,786320,16164,,,,9
Adriana Otero Ríos,adotrí469@outluc.com,,adotrí989,+56 9 7289 0034,15683900,0,,,,0
Sra. Juan Soto Cantú,sra.7178466@viajes.cl,hgR1DV4xc,Sra.cantú671,+56 9 8170 0851,3107127,,Nocturno,Consalud,Full time,5
Rosa Pichardo Ceballos,Rosaceballos545@viajes.cl,mlBV5cSiIHG,Rosaceballos352,+56 2 5870 8243,-5003498,,Diurno,Más vida,Part time,4
Guillermina Sandoval Núñez,gusanú875@viajesanma.com,u11grcUX3kozmAz,guillermina5736315,+56 9 7446 2142,9152938,0,,,,6
Sta. Guillermo Marroquín Borrego,stgumabo565@viajes.cl,pV9ywQH1pKS,,+56 2 7597 5739,15793611,,Nocturno,Más vida,Part time,5
Arturo Madrigal Delgado,armade579@wass.com,fPF3mxmyLs,Arturodelgado743,+56 9 0876 9875,7029721,15882,,,,3
Sra. Eloisa Marín Melgar,srelmame468@marmol.com,,sra.1203862,+56 9 3304 5861,8101481,196,,,,7
Alfredo Estévez Alonso,alfredo5112229@viajes.cl,,alesal851,+56 2 8627 6053,16658731,,Diurno,Banmédica,Full time,K
Óscar Gallegos Palacios,óscar3400586@wass.com,tFPkb8Ey3djk,Óscarpalacios860,+56 2 6399 2901,-11719776,-8084,,,,K
Gabriel Burgos Adorno,gabuad796@edubus.cal,l7GtsjJfaQXCFqf,Gabrieladorno216,+56 2 0278 0418,,0,,,,
Hernán Gurule Echevarría,heguec389@wass.com,rzRM2E1GkE,Hernánechevarría490,+56 2 7445 7643,,1600,,,,
Caridad Roldán Suárez,,oT2peydQI,carosu702,+56 9 5504 1410,23969229,0,,,,K
Jorge Luis Frías Bonilla,Jorgebonilla879@outluc.com,bAh7IRJFl3oZBq,jorge903966,+56 2 8802 9188,,2340,,,,
Salvador Godoy Nieves,sagoni828@viajes.cl,,sagoni955,+56 9 8508 5293,23245875,,Nocturno,Colmena,Full time,5
,escapa296@viajesanma.com,tx6BT4bhU67,esperanza5247641,,,12091,,,,
Fernando Tovar Lomeli,,jLK8J8GcGI3ssL,Fernandolomeli807,+56 9 0442 3253,21104287,0,,,,7
Raúl Villalobos Gaytán,raviga372@viajes.cl,bDMV90pa6,raviga145,+56 9 2076 6220,5183336,,Nocturno,Consalud,Full time,8
Sra. Carlota Rojas Segura,sra.6645978@outluc.com,rWJzR2FDG,Sra.segura668,+56 9 5186 4054,1690686,12353,,,,7
Sr. José María Nevárez Muro,sr.8467531@viajes.cl,,srjomanemu444,+56 2 8689 0549,27379418,,Diurno,Banmédica,Full time,2
Silvia Cerda Caraballo,,4Pv0rgDEsVF,silvia5319943,+56 2 5964 2581,23030103,,Diurno,Fonasa,Part time,4
Germán Vera Alvarez,,xRQ9lNB10,germán3643842,+56 2 7238 5954,9708917,7691,,,,5
Martín Agosto Esquibel,Martínesquibel775@viajes.cl,JA4Lk8oSycAP,maages396,,7153206,,Diurno,Fonasa,Full time,2
Catalina Adame Salcido,Catalinasalcido382@viajes.cl,CjBaGe51traK,catalina8301795,+56 9 9357 5495,7668669,,Diurno,Fonasa,Full time,6
Sta. Catalina Vélez Botello,stcavébo386@wass.com,bD9eXfkz5my,sta.4493845,,7566393,12949,,,,5
Ester Medina Segura,Estersegura683@wass.com,aXVNuDT6NR5,,,16703935,,,,,9
Sra. Sonia Luna Espinosa,srsolues399@viajes.cl,TkH3zTaBDF,Sra.espinosa256,+56 2 3906 3783,4757416,,Diurno,Colmena,Full time,1
Gloria Carbajal Tejeda,glcate278@wass.com,F0h34lREweGOYoq,Gloriatejeda544,+56 2 4473 6217,6727768,,,,,6
María Elena Berríos Casas,maelbeca848@tourket.com,c6SugP4zRjzHT,maría7617789,+56 9 7112 2205,3400142,4716,,,,1
Clemente Chapa Montenegro,clemente3290757@tourket.com,7OyoOf8Y5,Clementemontenegro600,+56 9 4557 1476,5713925,0,,,,0
Lucas Casillas Rincón,lucari551@viajes.cl,YWJqBu1t,lucari882,+56 9 5081 8106,5318776,,Diurno,Más vida,Full time,5
Gilberto Griego Mejía,,1boaKu4JinYE,gilberto1483464,+56 9 6925 1193,4681565,-14284,,,,3
Manuel Meraz Becerra,Manuelbecerra686@marmol.com,0NJq5dl7X,Manuelbecerra705,+56 9 4608 3482,9621350,,,,,6
Sr. Francisco Robledo Correa,sr.9118460@viajes.cl,UCClR2S6yHvkUT9,Sr.correa104,+56 9 9367 9527,8139134,,Nocturno,Más vida,Part time,3
Sta. Homero Aragón Macías,sta.7893328@viajes.cl,37Q5MSfLN,sthoarma844,+56 2 3553 9161,8377879,,Diurno,Banmédica,Full time,2
Natalia Niño Serrato,nanise574@viajes.cl,lK4ahSwQeN4YSA86,Nataliaserrato297,+56 2 3255 5223,6068862,,Diurno,Banmédica,Full time,1
